merchant_id,merchant_name,merchant_category,mcc_code,created_at
MER0001,IndiGo,Airlines,4511,2026-08-18 01:46:07
MER0002,Air India,Airlines,4511,2026-08-18 01:46:07
MER0003,Air India Express,Airlines,4511,2026-08-18 01:46:07
MER0004,Vistara,Airlines,4511,2026-08-18 01:46:07
MER0005,Akasa Air,Airlines,4511,2026-08-18 01:46:07
MER0006,SpiceJet,Airlines,4511,2026-08-18 01:46:07
MER0007,Emirates,Airlines,4511,2026-08-18 01:46:07
MER0008,Qatar Airways,Airlines,4511,2026-08-18 01:46:07
MER0101,Swiggy,Food Delivery,5812,2026-08-18 01:46:07
MER0102,Zomato,Food Delivery,5812,2026-08-18 01:46:07
MER0103,EatSure,Food Delivery,5812,2026-08-18 01:46:07
MER0104,Dominos,Food Delivery,5812,2026-08-18 01:46:07
MER0105,McDonalds,Food Delivery,5812,2026-08-18 01:46:07
MER0106,KFC,Food Delivery,5812,2026-08-18 01:46:07
MER0201,Amazon India,E-Commerce,5311,2026-08-18 01:46:07
MER0202,Flipkart,E-Commerce,5311,2026-08-18 01:46:07
MER0203,Myntra,E-Commerce,5311,2026-08-18 01:46:07
MER0204,Ajio,E-Commerce,5311,2026-08-18 01:46:07
MER0205,Meesho,E-Commerce,5311,2026-08-18 01:46:07
MER0206,Nykaa,E-Commerce,5311,2026-08-18 01:46:07
MER0207,Croma,Electronics,5732,2026-08-18 01:46:07
MER0208,Reliance Digital,Electronics,5732,2026-08-18 01:46:07
MER0301,Reliance Trends,Shopping,5311,2026-08-18 01:46:07
MER0302,Westside,Shopping,5311,2026-08-18 01:46:07
MER0303,Lifestyle,Shopping,5311,2026-08-18 01:46:07
MER0304,Pantaloons,Shopping,5311,2026-08-18 01:46:07
MER0401,DMart,Grocery,5411,2026-08-18 01:46:07
MER0402,Reliance Smart,Grocery,5411,2026-08-18 01:46:07
MER0403,BigBasket,Grocery,5411,2026-08-18 01:46:07
MER0404,Blinkit,Grocery,5411,2026-08-18 01:46:07
MER0405,Zepto,Grocery,5411,2026-08-18 01:46:07
MER0501,Uber,Cab,4121,2026-08-18 01:46:07
MER0502,Ola,Cab,4121,2026-08-18 01:46:07
MER0503,Rapido,Cab,4121,2026-08-18 01:46:07
MER0504,BluSmart,Cab,4121,2026-08-18 01:46:07
MER0601,RedBus,Bus,4789,2026-08-18 01:46:07
MER0602,AbhiBus,Bus,4789,2026-08-18 01:46:07
MER0603,MSRTC,Bus,4131,2026-08-18 01:46:07
MER0604,KSRTC,Bus,4131,2026-08-18 01:46:07
MER0701,IRCTC,Train,4112,2026-08-18 01:46:07
MER0702,Indian Railways,Train,4112,2026-08-18 01:46:07
MER0801,Taj Hotels,Hotels,7011,2026-08-18 01:46:07
MER0802,Marriott,Hotels,7011,2026-08-18 01:46:07
MER0803,ITC Hotels,Hotels,7011,2026-08-18 01:46:07
MER0804,OYO,Hotels,7011,2026-08-18 01:46:07
MER0805,MakeMyTrip,Hotels,4722,2026-08-18 01:46:07
MER0806,Booking.com,Hotels,4722,2026-08-18 01:46:07
MER0901,PVR INOX,Movies,7832,2026-08-18 01:46:07
MER0902,Cinepolis,Movies,7832,2026-08-18 01:46:07
MER0903,BookMyShow,Entertainment,7832,2026-08-18 01:46:07
MER1001,Indian Oil,Fuel,5541,2026-08-18 01:46:07
MER1002,Bharat Petroleum,Fuel,5541,2026-08-18 01:46:07
MER1003,Hindustan Petroleum,Fuel,5541,2026-08-18 01:46:07
MER1004,Shell,Fuel,5541,2026-08-18 01:46:07
MER1101,MSEDCL,Utilities,4900,2026-08-18 01:46:07
MER1102,Adani Electricity,Utilities,4900,2026-08-18 01:46:07
MER1103,Tata Power,Utilities,4900,2026-08-18 01:46:07
MER1104,Airtel,Telecom,4814,2026-08-18 01:46:07
MER1105,Jio,Telecom,4814,2026-08-18 01:46:07
MER1106,Vi,Telecom,4814,2026-08-18 01:46:07
MER1201,Netflix,Entertainment,4899,2026-08-18 01:46:07
MER1202,Spotify,Entertainment,4899,2026-08-18 01:46:07
MER1203,Amazon Prime,Entertainment,4899,2026-08-18 01:46:07
MER1204,Disney+ Hotstar,Entertainment,4899,2026-08-18 01:46:07
MER1205,YouTube Premium,Entertainment,4899,2026-08-18 01:46:07
MER1301,Apollo Hospitals,Healthcare,8011,2026-08-18 01:46:07
MER1302,Fortis Healthcare,Healthcare,8011,2026-08-18 01:46:07
MER1303,Max Healthcare,Healthcare,8011,2026-08-18 01:46:07
MER1304,Apollo Pharmacy,Pharmacy,5912,2026-08-18 01:46:07
MER1305,Tata 1mg,Pharmacy,5912,2026-08-18 01:46:07
MER1306,PharmEasy,Pharmacy,5912,2026-08-18 01:46:07
MER1401,Coursera,Education,8299,2026-08-18 01:46:07
MER1402,Udemy,Education,8299,2026-08-18 01:46:07
MER1403,Unacademy,Education,8299,2026-08-18 01:46:07
MER1404,BYJU'S,Education,8299,2026-08-18 01:46:07
MER1501,Zerodha,Investment,6211,2026-08-18 01:46:07
MER1502,Groww,Investment,6211,2026-08-18 01:46:07
MER1503,Upstox,Investment,6211,2026-08-18 01:46:07
MER1504,Angel One,Investment,6211,2026-08-18 01:46:07
MER1505,HDFC Securities,Investment,6211,2026-08-18 01:46:07
MER1601,HDFC Mutual Fund,SIP / Mutual Fund,6211,2026-08-18 01:46:07
MER1602,SBI Mutual Fund,SIP / Mutual Fund,6211,2026-08-18 01:46:07
MER1603,ICICI Prudential MF,SIP / Mutual Fund,6211,2026-08-18 01:46:07
MER1701,HDFC Life,Insurance,6300,2026-08-18 01:46:07
MER1702,HDFC ERGO,Insurance,6300,2026-08-18 01:46:07
MER1703,ICICI Lombard,Insurance,6300,2026-08-18 01:46:07
MER1801,Electricity Bill,Bills,4900,2026-08-18 01:46:07
MER1802,Water Bill,Bills,4900,2026-08-18 01:46:07
MER1803,Gas Bill,Bills,4900,2026-08-18 01:46:07
MER1804,Mobile Recharge,Bills,4814,2026-08-18 01:46:07
MER1805,Credit Card Bill,Bills,6012,2026-08-18 01:46:07
MER1901,Social,Restaurant,5812,2026-08-18 01:46:07
MER1902,Barbeque Nation,Restaurant,5812,2026-08-18 01:46:07
MER1903,Theobroma,Restaurant,5812,2026-08-18 01:46:07
MER1904,Cafe Coffee Day,Restaurant,5814,2026-08-18 01:46:07
MER2001,University Fee Portal,Education Fees,8220,2026-08-18 01:46:07
MER2002,College Fee Payment,Education Fees,8220,2026-08-18 01:46:07
MER2003,School Fee Payment,Education Fees,8211,2026-08-18 01:46:07
MER2101,Rent Payment,Rent,6513,2026-08-18 01:46:07
MER2102,Housing Rent,Rent,6513,2026-08-18 01:46:07
MER2201,UPI Transfer - Family,P2P Transfer,,2026-08-18 01:46:07
MER2202,UPI Transfer - Friends,P2P Transfer,,2026-08-18 01:46:07
MER2203,UPI Transfer - Business,P2P Transfer,,2026-08-18 01:46:07
MERAGR01,Krishi Seva Kendra,Agriculture,5261,2026-08-18 01:46:07
MERAGR02,Mahindra Farm Equipment,Agriculture Equipment,5999,2026-08-18 01:46:07
MERAGR03,IFFCO Fertilizers,Agriculture,5261,2026-08-18 01:46:07
MERAGR04,State Agricultural Market,Agriculture,5261,2026-08-18 01:46:07
MERAGR05,Tractor Junction,Agriculture Equipment,5511,2026-08-18 01:46:07
MERAGR06,Bijak Agri,Agriculture,5261,2026-08-18 01:46:07
