customer_investment_id,customer_id,investment_product_id,investment_product_name,investment_category,provider,investment_type,investment_mode,monthly_amount,initial_investment_amount,total_invested_amount,current_value,start_date,status
INVH00004,CUST00004,INV009,IPO Investment,IPO,HDFC Securities,IPO,Direct Purchase,0,75000,75000,83328.25,2020-06-11,Active
INVH00005,CUST00005,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly SIP,15000,15000,360000,367756.9746974404,2024-08-01,Active
INVH00006,CUST00006,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly SIP,10000,10000,210000,234568.6174710864,2024-11-22,Active
INVH00007,CUST00007,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly SIP,25000,25000,175000,195172.66491714373,2026-01-03,Active
INVH00008,CUST00008,INV003,HDFC Liquid Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,200000,200000,197969.58,2023-10-10,Active
INVH00009,CUST00009,INV003,HDFC Liquid Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,500000,500000,595684.6,2021-03-08,Active
INVH00010,CUST00010,INV003,HDFC Liquid Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,50000,50000,49160.43,2025-06-06,Active
INVH00011,CUST00011,INV008,Equity Trading,Stock / Equity,HDFC Securities,Stock / Equity,Direct Purchase,0,100000,100000,106492.06,2025-10-31,Active
INVH00014,CUST00014,INV005,HDFC Corporate Bond,Bond,HDFC Securities,Bond,Direct Purchase,0,50000,50000,50029.26,2023-08-02,Active
INVH00016,CUST00016,INV007,HDFC 3-in-1 Investment Account,Demat,HDFC Securities,Demat Account,Account,0,0,0,0,2022-01-26,Active
INVH00017,CUST00017,INV002,HDFC Balanced Advantage Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,10000,10000,9366.91,2023-06-14,Active
INVH00018,CUST00018,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly SIP,2000,2000,12000,13624.012639982591,2026-02-24,Active
