customer_investment_id,customer_id,investment_product_id,investment_product_name,investment_category,provider,investment_type,investment_mode,monthly_amount,initial_investment_amount,total_invested_amount,current_value,start_date,status
INV00001,CUST00001,INV001,HDFC Equity Mutual Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,118005,118005,136403.36,2021-07-26,Active
INV00002,CUST00002,INV005,HDFC Balanced SIP,SIP,HDFC Mutual Fund,SIP,Monthly,7699,7699,92388,118516.87,2024-02-12,Active
INV00003,CUST00002,INV002,HDFC Balanced Advantage Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,205780,205780,203100.31,2024-02-12,Active
INV00004,CUST00003,INV002,HDFC Balanced Advantage Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,13073,13073,17036.88,2026-06-23,Active
INV00005,CUST00004,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly,5465,5465,21860,28068.92,2018-07-29,Active
INV00006,CUST00005,INV003,HDFC Liquid Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,238307,238307,329709.28,2024-11-05,Active
INV00007,CUST00005,INV007,NPS Tier I,NPS,HDFC Pension,NPS,Monthly,3218,3218,48270,50537.75,2024-11-05,Active
INV00008,CUST00006,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly,20429,20429,102145,105951.34,2024-11-27,Active
INV00009,CUST00006,INV003,HDFC Liquid Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,18462,18462,20945.94,2024-11-27,Active
INV00010,CUST00010,INV005,HDFC Balanced SIP,SIP,HDFC Mutual Fund,SIP,Monthly,46198,46198,739168,907467.03,2024-11-25,Active
INV00011,CUST00011,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly,19013,19013,76052,89897.92,2021-09-08,Active
INV00012,CUST00011,INV007,NPS Tier I,NPS,HDFC Pension,NPS,Monthly,6676,6676,206956,207389.81,2021-09-08,Active
INV00013,CUST00011,INV008,HDFC 3-in-1 Investment Account,Demat,HDFC Securities,Demat Account,One-Time,0,0,0,0,2021-09-08,Active
INV00014,CUST00011,INV009,Equity Trading Account,Stock / Equity,HDFC Securities,Direct Equity,Lumpsum,0,16314,16314,21459.86,2021-09-08,Active
INV00015,CUST00012,INV005,HDFC Balanced SIP,SIP,HDFC Mutual Fund,SIP,Monthly,50000,50000,400000,427881.34,2018-08-05,Active
INV00016,CUST00012,INV001,HDFC Equity Mutual Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,284859,284859,400392.31,2018-08-05,Active
INV00017,CUST00012,INV007,NPS Tier I,NPS,HDFC Pension,NPS,Monthly,1849,1849,18490,20675.62,2018-08-05,Active
INV00018,CUST00014,INV005,HDFC Balanced SIP,SIP,HDFC Mutual Fund,SIP,Monthly,5790,5790,185280,244939.76,2021-04-03,Active
INV00019,CUST00014,INV001,HDFC Equity Mutual Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,29127,29127,33359.46,2021-04-03,Active
INV00020,CUST00016,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly,959,959,24934,31574.7,2021-08-03,Active
INV00021,CUST00016,INV003,HDFC Liquid Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,53138,53138,56262.61,2021-08-03,Active
INV00022,CUST00017,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly,50000,50000,1150000,1337545.12,2026-06-08,Active
INV00023,CUST00017,INV007,NPS Tier I,NPS,HDFC Pension,NPS,Monthly,9579,9579,143685,150427.19,2026-06-08,Active
INV00024,CUST00018,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly,47840,47840,239200,287153.83,2021-11-09,Active
INV00025,CUST00018,INV002,HDFC Balanced Advantage Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,247997,247997,249868.89,2021-11-09,Active
INV00026,CUST00018,INV008,HDFC 3-in-1 Investment Account,Demat,HDFC Securities,Demat Account,One-Time,0,0,0,0,2021-11-09,Active
INV00027,CUST00018,INV009,Equity Trading Account,Stock / Equity,HDFC Securities,Direct Equity,Lumpsum,0,113323,113323,114274.97,2021-11-09,Active
