customer_deposit_id,customer_id,deposit_product_id,deposit_product_name,deposit_category,deposit_status,principal_amount,interest_rate,deposit_tenure_months,maturity_date,maturity_amount,start_date,is_auto_renewal,account_id
DEP00001,CUST00004,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,125191,6.5,23,2026-04-10,140787.71,2024-05-11,Yes,ACC00004
DEP00002,CUST00005,DEP004,Tax Saving Fixed Deposit,Tax Saving FD,Active,284256,6.5,53,2030-05-18,365861.16,2025-12-19,No,ACC00005
DEP00003,CUST00006,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,67666,6.5,68,2032-03-14,92589.64,2026-07-17,No,ACC00006
DEP00004,CUST00007,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,749863,6.5,25,2026-04-21,851406.95,2024-03-22,Yes,ACC00007
DEP00005,CUST00008,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,14012,6.5,74,2030-01-19,19628.48,2023-11-23,No,ACC00009
DEP00006,CUST00010,DEP003,Recurring Deposit,Recurring Deposit,Active,842496,6.5,25,2026-01-11,956584.0,2023-12-13,Yes,ACC00011
DEP00007,CUST00011,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,359062,6.5,69,2031-03-03,493261.42,2025-06-05,Yes,ACC00012
DEP00008,CUST00012,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,492586,6.5,12,2027-06-22,524604.09,2026-06-23,Yes,ACC00013
DEP00009,CUST00015,DEP002,Senior Citizen Fixed Deposit,Fixed Deposit,Active,29961,7.0,61,2027-08-04,40622.12,2022-07-07,No,ACC00017
DEP00010,CUST00017,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,1534545,6.5,36,2029-03-13,1833781.28,2026-03-15,No,ACC00019
DEP00011,CUST00018,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,717194,6.5,74,2021-11-14,1004669.26,2015-09-18,Yes,ACC00021
DEP00012,CUST00023,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,77028,6.5,20,2024-01-16,85372.7,2022-05-18,Yes,ACC00027
DEP00013,CUST00027,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,257807,6.5,62,2026-02-13,344387.18,2020-12-17,No,ACC00031
DEP00014,CUST00031,DEP004,Tax Saving Fixed Deposit,Tax Saving FD,Active,100577,6.5,30,2023-01-08,116920.76,2020-07-10,No,ACC00035
DEP00015,CUST00033,DEP003,Recurring Deposit,Recurring Deposit,Active,122838,6.5,64,2026-10-08,165421.84,2021-06-11,No,ACC00037
DEP00016,CUST00034,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,92492,6.5,41,2023-04-05,113032.93,2019-11-06,No,ACC00038
DEP00017,CUST00035,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,89789,6.5,15,2023-08-31,97084.36,2022-06-01,No,ACC00039
DEP00018,CUST00038,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,713882,6.5,48,2026-08-16,899491.32,2022-08-18,Yes,ACC00042
DEP00019,CUST00039,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,180006,6.5,32,2023-04-05,211207.04,2020-08-06,No,ACC00044
DEP00020,CUST00044,DEP004,Tax Saving Fixed Deposit,Tax Saving FD,Active,399935,6.5,69,2029-03-20,549410.71,2023-06-23,No,ACC00050
DEP00021,CUST00045,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,223011,6.5,58,2024-12-16,293073.62,2020-02-18,No,ACC00051
DEP00022,CUST00047,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,338059,6.5,46,2027-07-16,422292.03,2023-09-17,Yes,ACC00053
DEP00023,CUST00050,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,646472,6.5,49,2025-08-29,818056.44,2021-08-01,No,ACC00057
DEP00024,CUST00051,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,478940,6.5,16,2027-06-14,520448.13,2026-02-13,No,ACC00058
DEP00025,CUST00054,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,620549,6.5,73,2030-08-09,865924.42,2024-07-12,No,ACC00061
