account_id,customer_id,account_type,account_product_name,account_number_masked,account_status,opening_date,currency,average_monthly_balance,branch_id
ACC00001,CUST00001,Savings,Millennia Savings Account,XXXXXX2172,Active,2024-05-11,INR,84772.94,BR001
ACC00002,CUST00002,Savings,Millennia Savings Account,XXXXXX8230,Active,2024-01-27,INR,110273.62,BR009
ACC00003,CUST00003,Current,Regular Current Account,XXXXXX5795,Active,2020-08-20,INR,22267.41,BR029
ACC00004,CUST00004,Savings,Millennia Savings Account,XXXXXX3359,Active,2024-10-03,INR,112032.05,BR052
ACC00005,CUST00005,Savings,Millennia Savings Account,XXXXXX9347,Active,2021-10-24,INR,337477.25,BR044
ACC00006,CUST00006,Salary,Savings Account,XXXXXX4499,Active,2023-09-26,INR,25972.53,BR040
ACC00007,CUST00007,Savings,Digital Savings Account,XXXXXX9541,Active,2024-05-30,INR,291131.44,BR057
ACC00008,CUST00007,Current,Regular Current Account,XXXXXX3618,Active,2025-07-27,INR,112280.36,BR057
ACC00009,CUST00008,Savings,Regular Savings Account,XXXXXX3484,Active,2026-04-10,INR,103245.27,BR061
ACC00010,CUST00009,Savings,Regular Savings Account,XXXXXX2358,Active,2023-03-19,INR,72427.72,BR071
ACC00011,CUST00010,Savings,Millennia Savings Account,XXXXXX4191,Active,2025-02-15,INR,635113.33,BR075
ACC00012,CUST00011,Savings,Millennia Savings Account,XXXXXX5647,Active,2025-03-23,INR,246148.08,BR034
ACC00013,CUST00012,Salary,Salary Account,XXXXXX1953,Active,2025-03-23,INR,51996.21,BR068
ACC00014,CUST00012,Savings,Regular Savings Account,XXXXXX1858,Active,2025-11-18,INR,165528.98,BR068
ACC00015,CUST00013,Savings,Regular Savings Account,XXXXXX9986,Active,2017-02-23,INR,7085.32,BR043
ACC00016,CUST00014,Salary,Premium Salary Account,XXXXXX2701,Active,2024-09-30,INR,18592.87,BR014
ACC00017,CUST00015,Savings,Regular Savings Account,XXXXXX4962,Active,2025-09-05,INR,13431.38,BR026
ACC00018,CUST00016,Savings,Millennia Savings Account,XXXXXX2146,Active,2024-04-24,INR,215226.49,BR056
ACC00019,CUST00017,Savings,Regular Savings Account,XXXXXX1216,Active,2025-10-02,INR,364716.67,BR042
ACC00020,CUST00017,Current,Premium Current Account,XXXXXX7413,Active,2026-08-18,INR,232722.19,BR042
ACC00021,CUST00018,Current,Premium Current Account,XXXXXX9423,Active,2024-05-25,INR,243512.52,BR022
ACC00022,CUST00018,Savings,Digital Savings Account,XXXXXX9301,Active,2024-12-14,INR,781149.98,BR022
ACC00023,CUST00019,Savings,Regular Savings Account,XXXXXX6489,Active,2021-01-14,INR,110676.76,BR014
ACC00024,CUST00020,Savings,Millennia Savings Account,XXXXXX4001,Active,2025-12-24,INR,367537.85,BR032
ACC00025,CUST00021,Savings,Regular Savings Account,XXXXXX2423,Active,2025-10-14,INR,52257.15,BR075
ACC00026,CUST00022,Savings,Regular Savings Account,XXXXXX1971,Active,2025-09-06,INR,15742.87,BR080
ACC00027,CUST00023,Salary,Salary Account,XXXXXX3494,Active,2026-01-14,INR,97345.85,BR009
ACC00028,CUST00024,Savings,Millennia Savings Account,XXXXXX6566,Active,2024-09-18,INR,6541.8,BR074
ACC00029,CUST00025,Current,Premium Current Account,XXXXXX8984,Active,2022-02-12,INR,273526.15,BR047
ACC00030,CUST00026,Salary,Premium Salary Account,XXXXXX2614,Active,2021-09-04,INR,42756.54,BR004
ACC00031,CUST00027,Savings,Regular Savings Account,XXXXXX9734,Active,2024-11-13,INR,308333.14,BR040
ACC00032,CUST00028,Savings,Regular Savings Account,XXXXXX7405,Active,2020-07-17,INR,154318.54,BR025
ACC00033,CUST00029,Savings,Savings Max,XXXXXX7280,Active,2021-07-24,INR,156706.47,BR007
ACC00034,CUST00030,Savings,Millennia Savings Account,XXXXXX6172,Active,2025-05-02,INR,230058.53,BR023
ACC00035,CUST00031,Salary,Savings Account,XXXXXX3731,Active,2016-05-25,INR,47857.24,BR008
ACC00036,CUST00032,Savings,Regular Savings Account,XXXXXX5562,Active,2017-08-14,INR,135630.64,BR035
ACC00037,CUST00033,Current,Premium Current Account,XXXXXX5547,Active,2022-01-22,INR,211512.0,BR059
ACC00038,CUST00034,Current,Business Current Account,XXXXXX4028,Active,2024-08-28,INR,104349.49,BR078
