customer_card_id,customer_id,credit_card_product_id,card_name,card_number_masked,card_network,card_category,issue_date,activation_date,expiry_date,card_status,credit_limit,available_limit,current_outstanding,reward_points_balance,annual_spend,international_enabled,last_payment_date
CCA00001,CUST00002,CC013,Pixel Go Credit Card,XXXX-XXXX-XXXX-6027,Visa,Classic,2021-11-21,2021-11-27,2026-11-20,Active,90491,46725.03,43765.97,40991,126468.74,Yes,2026-07-22
CCA00002,CUST00004,CC010,Tata Neu Infinity,XXXX-XXXX-XXXX-5419,RuPay,Premium,2026-05-31,2026-06-05,2031-05-30,Active,777098,690080.77,87017.23,4196,4014092.17,No,2026-07-23
CCA00003,CUST00005,CC010,Tata Neu Infinity,XXXX-XXXX-XXXX-6497,RuPay,Premium,2021-09-25,2021-09-29,2026-09-24,Active,719135,626436.66,92698.34,39753,4647628.79,No,2026-07-10
CCA00004,CUST00006,CC010,Tata Neu Infinity,XXXX-XXXX-XXXX-6771,RuPay,Premium,2023-08-15,2023-08-15,2028-08-13,Active,727093,578891.35,148201.65,12916,562339.62,No,2026-08-11
CCA00005,CUST00008,CC002,MoneyBack+ Credit Card,XXXX-XXXX-XXXX-4636,Visa,Classic,2023-11-06,2023-11-10,2028-11-04,Active,140564,68911.31,71652.69,20752,133902.73,No,2026-08-14
CCA00006,CUST00009,CC011,IndianOil HDFC Bank Credit Card,XXXX-XXXX-XXXX-4548,Visa,Classic,2025-11-27,2025-11-27,2030-11-26,Active,51913,42035.34,9877.66,22858,275273.14,No,2026-07-04
CCA00007,CUST00010,CC010,Tata Neu Infinity,XXXX-XXXX-XXXX-7223,RuPay,Premium,2020-10-19,2020-10-24,2025-10-18,Active,438641,169483.69,269157.31,12863,2444175.03,No,2026-07-04
CCA00008,CUST00010,CC002,MoneyBack+ Credit Card,XXXX-XXXX-XXXX-4995,Visa,Classic,2026-05-23,2023-12-03,2028-02-12,Active,34906,19892.25,15013.75,47427,150550.87,Yes,2026-08-02
CCA00009,CUST00011,CC007,Business Credit Card,XXXX-XXXX-XXXX-3272,Visa,Classic,2025-07-22,2025-07-28,2030-07-21,Active,78034,29873.41,48160.59,27740,224085.28,No,2026-08-08
CCA00010,CUST00012,CC009,Swiggy HDFC Bank Credit Card,XXXX-XXXX-XXXX-4778,Mastercard,Premium,2023-05-04,2023-05-09,2028-05-02,Active,1215044,447998.12,767045.88,45810,8124945.1,Yes,2026-07-14
