customer_loan_id,customer_id,loan_product_id,loan_product_name,loan_category,loan_purpose,loan_status,disbursement_date,disbursed_amount,outstanding_principal,interest_rate,original_tenure_months,remaining_tenure_months,emi_amount,emi_due_date,last_payment_date,collateral_provided,account_id
LOAN00001,CUST00001,LN001,Personal Loan,Personal,General,Active,2024-08-12,462559,79751.55,13.0,29,5,18672.36,1,2026-07-24,No,ACC00001
LOAN00002,CUST00005,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2024-11-14,204233,85097.08,13.5,12,5,18289.48,23,2026-08-14,No,ACC00005
LOAN00003,CUST00007,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2022-08-06,133726,76414.86,15.5,35,20,4773.45,12,2026-07-14,Yes,ACC00007
LOAN00004,CUST00008,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2022-05-07,8788231,5511263.51,8.75,59,37,183817.92,4,2026-08-02,Yes,ACC00009
LOAN00005,CUST00010,LN001,Personal Loan,Personal,General,Active,2019-11-22,1453308,101393.58,13.0,43,3,42458.42,3,2026-07-27,No,ACC00011
LOAN00006,CUST00016,LN001,Personal Loan,Personal,General,Active,2019-01-11,2291365,747184.24,13.0,46,15,63514.31,21,2026-08-10,No,ACC00018
LOAN00007,CUST00018,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2024-04-20,319048,12761.92,15.5,25,1,15014.68,21,2026-08-01,Yes,ACC00021
LOAN00008,CUST00024,LN012,Agriculture / Kisan Credit Card,Agriculture,Agriculture / Crop Production,Active,2024-10-08,906240,120832.0,7.5,15,2,63480.71,3,2026-08-14,No,ACC00028
LOAN00009,CUST00025,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2018-09-29,9360542,8442841.8,13.5,51,46,242203.46,24,2026-07-29,No,ACC00029
LOAN00010,CUST00026,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2024-03-22,413094,327032.75,15.5,24,19,20127.82,17,2026-08-10,Yes,ACC00030
LOAN00011,CUST00027,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2020-04-29,232318,143490.53,15.5,34,21,8486.08,27,2026-08-10,Yes,ACC00031
LOAN00012,CUST00028,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2023-03-14,6614561,3180077.4,8.75,52,25,153296.72,19,2026-07-24,Yes,ACC00032
LOAN00013,CUST00029,LN001,Personal Loan,Personal,General,Active,2017-02-17,2225140,1946997.5,13.0,24,21,105787.21,18,2026-08-10,No,ACC00033
LOAN00014,CUST00030,LN004,Used Car Loan,Auto,General,Active,2022-04-18,1872171,216019.73,12.5,52,6,46812.9,11,2026-07-22,Yes,ACC00034
LOAN00015,CUST00031,LN001,Personal Loan,Personal,General,Active,2017-11-29,1836850,768913.95,13.0,43,18,53663.6,26,2026-08-07,No,ACC00035
LOAN00016,CUST00036,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2024-12-31,158379,33938.36,15.5,14,3,12439.17,25,2026-07-25,Yes,ACC00040
LOAN00017,CUST00037,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2020-07-18,27469541,23054793.34,13.5,56,47,663826.82,23,2026-08-16,No,ACC00041
LOAN00018,CUST00042,LN009,Working Capital Finance,Business,Working Capital,Active,2015-10-28,103382013,51691006.5,11.5,12,6,9161202.65,20,2026-08-14,Yes,ACC00048
LOAN00019,CUST00046,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2022-03-14,3659319,2386512.39,13.5,46,30,102338.41,19,2026-08-03,No,ACC00052
LOAN00020,CUST00047,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2021-06-01,71111,3950.61,15.5,18,1,4453.0,20,2026-07-22,Yes,ACC00053
LOAN00021,CUST00048,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2023-03-04,494995,288747.08,13.5,12,7,44327.81,21,2026-07-17,No,ACC00055
LOAN00022,CUST00049,LN001,Personal Loan,Personal,General,Active,2020-02-10,245565,37066.42,13.0,53,8,6114.42,28,2026-07-31,No,ACC00056
LOAN00023,CUST00051,LN001,Personal Loan,Personal,General,Active,2023-12-06,459728,340832.83,13.0,58,43,10717.1,1,2026-07-31,No,ACC00058
LOAN00024,CUST00055,LN002,Home Loan,Home,Home Purchase / Construction,Active,2022-05-05,1131480,571232.62,8.7,103,52,15630.64,19,2026-07-18,Yes,ACC00062
LOAN00025,CUST00056,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2020-09-12,4006553,1271921.59,8.75,63,20,79545.32,16,2026-08-09,Yes,ACC00063
LOAN00026,CUST00057,LN012,Agriculture / Kisan Credit Card,Agriculture,Agriculture / Crop Production,Active,2019-05-26,513838,304819.15,7.5,59,35,10440.21,22,2026-08-11,No,ACC00064
LOAN00027,CUST00058,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2021-09-22,259492,43248.67,13.5,12,2,23238.03,14,2026-07-26,No,ACC00065
LOAN00028,CUST00059,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2022-12-18,263627,153782.42,13.5,12,7,23608.33,12,2026-07-19,No,ACC00066
LOAN00029,CUST00060,LN009,Working Capital Finance,Business,Working Capital,Active,2024-02-24,14004046,8169026.83,11.5,12,7,1240969.29,25,2026-08-01,Yes,ACC00067
LOAN00030,CUST00065,LN004,Used Car Loan,Auto,General,Active,2023-05-31,650967,287927.71,12.5,52,23,16277.17,4,2026-07-17,Yes,ACC00073
LOAN00031,CUST00066,LN001,Personal Loan,Personal,General,Active,2025-08-29,1442986,1175766.37,13.0,27,22,61927.52,8,2026-07-23,No,ACC00074
LOAN00032,CUST00069,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2020-03-26,399640,99910.0,13.5,12,3,35788.57,15,2026-08-08,No,ACC00077
LOAN00033,CUST00073,LN004,Used Car Loan,Auto,General,Active,2021-09-22,1440239,81522.96,12.5,53,3,35500.08,25,2026-08-11,Yes,ACC00081
LOAN00034,CUST00074,LN009,Working Capital Finance,Business,Working Capital,Active,2025-09-21,45416595,34062446.25,11.5,12,9,4024594.01,5,2026-07-26,Yes,ACC00082
LOAN00035,CUST00079,LN004,Used Car Loan,Auto,General,Active,2019-04-16,554150,327966.33,12.5,49,29,14497.4,9,2026-08-08,Yes,ACC00087
LOAN00036,CUST00080,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2025-08-24,356247,160311.15,15.5,20,9,20326.22,8,2026-08-16,Yes,ACC00088
LOAN00037,CUST00085,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2021-09-29,107516,31214.32,15.5,31,9,4230.91,1,2026-07-17,Yes,ACC00093
LOAN00038,CUST00090,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2020-07-11,23049720,16464085.71,13.5,14,10,1788690.08,18,2026-07-23,No,ACC00098
LOAN00039,CUST00091,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2024-04-05,357067,89266.75,13.5,12,3,31976.07,12,2026-08-07,No,ACC00099
LOAN00040,CUST00092,LN007,Gold Loan,Gold,Personal / Emergency,Active,2023-07-15,1825623,507117.5,8.5,18,5,108384.91,18,2026-07-19,Yes,ACC00100
LOAN00041,CUST00094,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2025-03-25,10560369,9463187.81,8.75,77,69,179719.57,3,2026-08-03,Yes,ACC00102
LOAN00042,CUST00096,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2022-10-04,4430840,354467.2,8.75,50,4,106069.48,9,2026-08-02,Yes,ACC00104
LOAN00043,CUST00099,LN004,Used Car Loan,Auto,General,Active,2019-07-21,2875740,460118.4,12.5,25,4,131251.48,14,2026-08-08,Yes,ACC00107
LOAN00044,CUST00101,LN001,Personal Loan,Personal,General,Active,2023-11-25,1917061,594949.97,13.0,29,9,77386.98,1,2026-08-02,No,ACC00109
LOAN00045,CUST00104,LN004,Used Car Loan,Auto,General,Active,2024-05-10,3075074,2498497.62,12.5,48,39,81735.46,1,2026-08-01,Yes,ACC00113
LOAN00046,CUST00105,LN009,Working Capital Finance,Business,Working Capital,Active,2022-12-21,23388078,13643045.5,11.5,12,7,2072535.79,3,2026-08-09,Yes,ACC00114
LOAN00047,CUST00106,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2021-12-01,393998,98499.5,13.5,12,3,35283.32,1,2026-07-20,No,ACC00115
LOAN00048,CUST00107,LN004,Used Car Loan,Auto,General,Active,2025-03-08,1292163,1159633.46,12.5,39,35,40486.76,22,2026-08-06,Yes,ACC00116
LOAN00049,CUST00109,LN004,Used Car Loan,Auto,General,Active,2020-06-26,3943225,1577290.0,12.5,15,6,285317.96,5,2026-07-16,Yes,ACC00118
LOAN00050,CUST00112,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2019-08-09,29180485,11672194.0,13.5,50,20,766249.64,20,2026-07-20,No,ACC00121
LOAN00051,CUST00113,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2022-10-03,6142983,3139746.87,13.5,45,23,174718.52,24,2026-07-23,No,ACC00122
LOAN00052,CUST00117,LN001,Personal Loan,Personal,General,Active,2025-02-04,944140,613691.0,13.0,40,26,29211.45,21,2026-07-17,No,ACC00126
LOAN00053,CUST00121,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2024-10-27,239482,179611.5,13.5,12,9,21446.1,6,2026-08-02,No,ACC00131
LOAN00054,CUST00125,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2024-12-31,319433,242769.08,15.5,25,19,15032.8,5,2026-08-03,Yes,ACC00137
LOAN00055,CUST00129,LN001,Personal Loan,Personal,General,Active,2024-10-24,1601353,1040879.45,13.0,40,26,49545.45,4,2026-07-29,No,ACC00141
LOAN00056,CUST00131,LN002,Home Loan,Home,Home Purchase / Construction,Active,2021-12-12,2227479,1566196.17,8.7,192,135,21527.39,25,2026-08-16,Yes,ACC00143
LOAN00057,CUST00138,LN009,Working Capital Finance,Business,Working Capital,Active,2023-08-08,22756727,7585575.67,11.5,12,4,2016588.59,12,2026-07-20,Yes,ACC00150
LOAN00058,CUST00139,LN001,Personal Loan,Personal,General,Active,2025-03-22,907374,430618.17,13.0,59,28,20894.61,1,2026-07-31,No,ACC00151
LOAN00059,CUST00140,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2025-05-12,86267,43133.5,13.5,12,6,7725.38,20,2026-07-21,No,ACC00152
LOAN00060,CUST00142,LN009,Working Capital Finance,Business,Working Capital,Active,2022-10-27,30222157,10074052.33,11.5,12,4,2678138.07,22,2026-07-19,Yes,ACC00155
LOAN00061,CUST00143,LN013,Tractor Loan,Agriculture,Tractor / Farm Equipment,Active,2024-09-29,1103338,929126.74,9.5,19,16,62776.38,7,2026-07-17,Yes,ACC00157
LOAN00062,CUST00144,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2022-08-23,476188,39682.33,15.5,48,4,13373.67,27,2026-07-24,Yes,ACC00158
LOAN00063,CUST00147,LN009,Working Capital Finance,Business,Working Capital,Active,2017-07-06,45716223,26667796.75,11.5,12,7,4051145.56,4,2026-07-21,Yes,ACC00161
LOAN00064,CUST00148,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2017-12-18,3114112,1453252.27,8.75,15,7,219923.16,3,2026-08-13,Yes,ACC00163
LOAN00065,CUST00149,LN004,Used Car Loan,Auto,General,Active,2019-03-30,3725542,894130.08,12.5,50,12,95970.31,22,2026-07-14,Yes,ACC00164
LOAN00066,CUST00153,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2023-07-12,311251,152006.3,15.5,43,21,9479.16,23,2026-07-16,Yes,ACC00168
LOAN00067,CUST00158,LN002,Home Loan,Home,Home Purchase / Construction,Active,2025-09-23,4734141,4345698.66,8.7,195,179,45428.59,11,2026-07-15,Yes,ACC00173
LOAN00068,CUST00163,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2023-12-31,9887281,3076042.98,8.75,45,14,258525.52,3,2026-07-26,Yes,ACC00178
LOAN00069,CUST00164,LN009,Working Capital Finance,Business,Working Capital,Active,2025-12-18,14322778,5967824.17,11.5,12,5,1269213.74,15,2026-07-31,Yes,ACC00179
LOAN00070,CUST00165,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2024-08-02,301879,144901.92,15.5,25,12,14206.69,26,2026-07-26,Yes,ACC00181
LOAN00071,CUST00167,LN004,Used Car Loan,Auto,General,Active,2024-06-13,1433399,114671.92,12.5,25,2,65421.68,5,2026-07-23,Yes,ACC00183
LOAN00072,CUST00169,LN001,Personal Loan,Personal,General,Active,2021-08-15,2297241,417680.18,13.0,22,4,117919.19,28,2026-08-05,No,ACC00185
LOAN00073,CUST00172,LN009,Working Capital Finance,Business,Working Capital,Active,2024-11-15,12731832,1060986.0,11.5,12,1,1128231.98,26,2026-07-30,Yes,ACC00188
LOAN00074,CUST00175,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2022-10-23,1349057,885318.66,8.75,64,42,26454.0,28,2026-08-16,Yes,ACC00191
LOAN00075,CUST00177,LN013,Tractor Loan,Agriculture,Tractor / Farm Equipment,Active,2024-12-31,1370204,1191481.74,9.5,46,40,35655.7,22,2026-08-13,Yes,ACC00193
LOAN00076,CUST00180,LN001,Personal Loan,Personal,General,Active,2024-10-14,2681972,574708.29,13.0,42,9,79821.1,24,2026-07-25,No,ACC00196
LOAN00077,CUST00183,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2021-01-20,496706,397364.8,15.5,30,24,20076.8,25,2026-08-01,Yes,ACC00199
LOAN00078,CUST00184,LN007,Gold Loan,Gold,Personal / Emergency,Active,2023-02-02,192012,27430.29,8.5,14,2,14454.9,25,2026-07-24,Yes,ACC00200
LOAN00079,CUST00191,LN013,Tractor Loan,Agriculture,Tractor / Farm Equipment,Active,2023-11-15,1029678,286021.67,9.5,18,5,61602.67,28,2026-07-22,Yes,ACC00207
