customer_loan_id,customer_id,loan_product_id,loan_product_name,loan_category,loan_account_number_masked,loan_status,sanctioned_amount,disbursed_amount,outstanding_principal,interest_rate,tenure_months,remaining_tenure_months,emi_amount,start_date,next_emi_date,repayment_status
CL00002,CUST00002,LN001,Personal Loan,Personal,XXXXXX2040,Active,560000,488838.67,189664.56,10.5,143,82,3250.84,2023-09-26,2026-08-31,Regular
CL00004,CUST00004,LN005,Two-Wheeler Loan,Two-Wheeler,XXXXXX9701,Active,440000,394697.92,129294.47,10.5,102,70,2477.94,2024-05-06,2026-08-20,Delayed
CL00005,CUST00005,LN013,Commercial Vehicle Finance,Commercial,XXXXXX1058,Active,310000,267791.88,142724.15,10.5,65,11,13666.0,2022-12-28,2026-09-12,Regular
CL00007,CUST00007,LN011,Loan Against Securities,Investment,XXXXXX7965,Active,120000,118067.88,91295.08,10.5,145,105,1332.75,2024-09-27,2026-08-24,Regular
CL00008,CUST00008,LN010,Loan Against Property,Property,XXXXXX9751,Active,7780000,7458119.67,5685161.4,10.5,100,85,95091.09,2021-07-16,2026-09-17,Regular
CL00011,CUST00011,LN004,Used Car Loan,Auto,XXXXXX4241,Active,2200000,1893489.32,811138.81,10.5,172,106,11773.0,2024-09-08,2026-08-22,Regular
CL00012,CUST00012,LN005,Two-Wheeler Loan,Two-Wheeler,XXXXXX9889,Active,460000,418888.08,244223.45,10.5,161,90,3932.14,2023-06-17,2026-09-01,Regular
CL00018,CUST00018,LN010,Loan Against Property,Property,XXXXXX2323,Active,7740000,7073903.67,2542212.47,10.5,68,15,181585.58,2025-07-18,2026-09-07,Regular
CL00019,CUST00019,LN004,Used Car Loan,Auto,XXXXXX1502,Active,900000,841453.35,437918.74,10.5,123,100,6588.94,2023-02-11,2026-09-11,Regular
CL00020,CUST00020,LN002,Home Loan,Home,XXXXXX2868,Active,7210000,6935087.92,2925668.32,10.5,245,166,33483.99,2025-01-28,2026-09-04,Regular
CL00021,CUST00021,LN010,Loan Against Property,Property,XXXXXX6543,Active,7110000,6441146.64,2934531.45,10.5,203,105,42839.18,2025-03-07,2026-09-07,Regular
CL00022,CUST00022,LN011,Loan Against Securities,Investment,XXXXXX7256,Active,2490000,2484188.26,1376051.47,10.5,181,105,20088.02,2023-05-01,2026-09-04,Regular
CL00024,CUST00024,LN004,Used Car Loan,Auto,XXXXXX7029,Active,1120000,960031.08,634246.7,10.5,88,21,33193.56,2025-08-17,2026-09-16,Regular
CL00025,CUST00025,LN009,Working Capital Finance,Business,XXXXXX9482,Active,5180000,4596948.25,1665919.05,10.5,130,69,32263.47,2022-10-07,2026-09-17,Regular
CL00027,CUST00027,LN012,Loan Against Mutual Funds,Investment,XXXXXX4944,Active,2190000,1869113.41,1532445.04,10.5,103,64,31373.33,2026-01-21,2026-09-06,Regular
CL00030,CUST00030,LN012,Loan Against Mutual Funds,Investment,XXXXXX1613,Active,2180000,1913923.9,1362621.49,10.5,131,118,18563.41,2025-10-15,2026-08-28,Regular
CL00031,CUST00031,LN010,Loan Against Property,Property,XXXXXX9972,Active,7070000,6092327.94,3718103.86,10.5,188,112,52213.38,2024-05-03,2026-08-25,Regular
CL00033,CUST00033,LN006,Education Loan,Education,XXXXXX6642,Active,930000,877826.04,469602.1,10.5,106,12,41394.77,2024-07-23,2026-09-09,Regular
CL00034,CUST00034,LN008,Business Loan,Business,XXXXXX8692,Active,4890000,4420299.33,3472350.99,10.5,127,18,209339.55,2024-03-23,2026-09-14,Regular
CL00035,CUST00035,LN010,Loan Against Property,Property,XXXXXX7640,Active,6030000,5744215.65,4401947.01,10.5,77,17,279802.99,2023-04-04,2026-08-31,Regular
CL00036,CUST00036,LN012,Loan Against Mutual Funds,Investment,XXXXXX1085,Active,750000,720711.22,341741.82,10.5,68,17,21722.29,2020-07-08,2026-09-02,Regular
CL00037,CUST00037,LN004,Used Car Loan,Auto,XXXXXX5775,Active,1140000,1050910.67,417947.7,10.5,152,46,11075.84,2023-06-20,2026-09-10,Regular
CL00038,CUST00038,LN001,Personal Loan,Personal,XXXXXX4621,Active,1190000,1051127.19,747108.8,10.5,149,80,13024.9,2025-04-04,2026-08-30,Regular
