customer_debit_card_id,customer_id,account_id,debit_card_product_id,card_name,card_number_masked,card_network,card_status,issue_date,expiry_date,international_enabled,daily_atm_limit,daily_pos_limit
DBC00001,CUST00001,ACC00001,DB005,MoneyBack Debit Card,XXXX-XXXX-XXXX-4445,Visa,Active,2024-05-11,2029-05-11,No,10000,25000
DBC00002,CUST00002,ACC00002,DB008,Titanium Debit Card,XXXX-XXXX-XXXX-3617,Mastercard,Active,2024-01-27,2029-01-27,No,15000,40000
DBC00003,CUST00003,ACC00003,DB007,Business Debit Card,XXXX-XXXX-XXXX-9084,Visa,Active,2020-08-20,2025-08-20,Yes,50000,200000
DBC00004,CUST00004,ACC00004,DB004,RuPay Debit Card,XXXX-XXXX-XXXX-4163,RuPay,Active,2024-10-03,2029-10-03,No,10000,20000
DBC00005,CUST00005,ACC00005,DB004,RuPay Debit Card,XXXX-XXXX-XXXX-9851,RuPay,Active,2021-10-24,2026-10-24,No,10000,20000
DBC00006,CUST00006,ACC00006,DB004,RuPay Debit Card,XXXX-XXXX-XXXX-9559,RuPay,Active,2023-09-26,2028-09-26,No,10000,20000
DBC00007,CUST00007,ACC00007,DB001,Millennia Debit Card,XXXX-XXXX-XXXX-6256,Visa,Active,2024-05-30,2029-05-30,Yes,25000,100000
DBC00008,CUST00008,ACC00009,DB005,MoneyBack Debit Card,XXXX-XXXX-XXXX-4350,Visa,Active,2026-04-10,2031-04-10,No,10000,25000
DBC00009,CUST00009,ACC00010,DB004,RuPay Debit Card,XXXX-XXXX-XXXX-2199,RuPay,Active,2023-03-19,2028-03-19,No,10000,20000
DBC00010,CUST00010,ACC00011,DB005,MoneyBack Debit Card,XXXX-XXXX-XXXX-1263,Visa,Active,2025-02-15,2030-02-15,No,10000,25000
DBC00011,CUST00011,ACC00012,DB007,Business Debit Card,XXXX-XXXX-XXXX-4933,Visa,Active,2025-03-23,2030-03-23,Yes,50000,200000
DBC00012,CUST00012,ACC00013,DB002,Platinum Debit Card,XXXX-XXXX-XXXX-9536,Visa,Active,2025-03-23,2030-03-23,Yes,25000,75000
DBC00013,CUST00013,ACC00015,DB004,RuPay Debit Card,XXXX-XXXX-XXXX-1137,RuPay,Active,2017-02-23,2022-02-23,No,10000,20000
DBC00014,CUST00014,ACC00016,DB008,Titanium Debit Card,XXXX-XXXX-XXXX-7998,Mastercard,Active,2024-09-30,2029-09-30,No,15000,40000
DBC00015,CUST00015,ACC00017,DB003,Classic Debit Card,XXXX-XXXX-XXXX-3221,Visa,Active,2025-09-05,2030-09-05,No,10000,25000
DBC00016,CUST00016,ACC00018,DB004,RuPay Debit Card,XXXX-XXXX-XXXX-6775,RuPay,Active,2024-04-24,2029-04-24,No,10000,20000
DBC00017,CUST00017,ACC00019,DB002,Platinum Debit Card,XXXX-XXXX-XXXX-3800,Visa,Active,2025-10-02,2030-10-02,Yes,25000,75000
DBC00018,CUST00018,ACC00021,DB007,Business Debit Card,XXXX-XXXX-XXXX-4746,Visa,Active,2024-05-25,2029-05-25,Yes,50000,200000
DBC00019,CUST00019,ACC00023,DB005,MoneyBack Debit Card,XXXX-XXXX-XXXX-2801,Visa,Active,2021-01-14,2026-01-14,No,10000,25000
DBC00020,CUST00020,ACC00024,DB002,Platinum Debit Card,XXXX-XXXX-XXXX-2818,Visa,Active,2025-12-24,2030-12-24,Yes,25000,75000
DBC00021,CUST00021,ACC00025,DB008,Titanium Debit Card,XXXX-XXXX-XXXX-7136,Mastercard,Active,2025-10-14,2030-10-14,No,15000,40000
DBC00022,CUST00022,ACC00026,DB003,Classic Debit Card,XXXX-XXXX-XXXX-6405,Visa,Active,2025-09-06,2030-09-06,No,10000,25000
DBC00023,CUST00023,ACC00027,DB003,Classic Debit Card,XXXX-XXXX-XXXX-3379,Visa,Active,2026-01-14,2031-01-14,No,10000,25000
DBC00024,CUST00024,ACC00028,DB003,Classic Debit Card,XXXX-XXXX-XXXX-8404,Visa,Active,2024-09-18,2029-09-18,No,10000,25000
DBC00025,CUST00025,ACC00029,DB007,Business Debit Card,XXXX-XXXX-XXXX-1016,Visa,Active,2022-02-12,2027-02-12,Yes,50000,200000
DBC00026,CUST00026,ACC00030,DB004,RuPay Debit Card,XXXX-XXXX-XXXX-6925,RuPay,Active,2021-09-04,2026-09-04,No,10000,20000
DBC00027,CUST00027,ACC00031,DB005,MoneyBack Debit Card,XXXX-XXXX-XXXX-2707,Visa,Active,2024-11-13,2029-11-13,No,10000,25000
DBC00028,CUST00028,ACC00032,DB001,Millennia Debit Card,XXXX-XXXX-XXXX-9097,Visa,Active,2020-07-17,2025-07-17,Yes,25000,100000
DBC00029,CUST00029,ACC00033,DB004,RuPay Debit Card,XXXX-XXXX-XXXX-5590,RuPay,Active,2021-07-24,2026-07-24,No,10000,20000
DBC00030,CUST00030,ACC00034,DB006,Women's Advantage Debit Card,XXXX-XXXX-XXXX-3208,Visa,Active,2025-05-02,2030-05-02,Yes,25000,75000
DBC00031,CUST00031,ACC00035,DB003,Classic Debit Card,XXXX-XXXX-XXXX-4394,Visa,Active,2016-05-25,2021-05-25,No,10000,25000
DBC00032,CUST00032,ACC00036,DB001,Millennia Debit Card,XXXX-XXXX-XXXX-3525,Visa,Active,2017-08-14,2022-08-14,Yes,25000,100000
DBC00033,CUST00033,ACC00037,DB007,Business Debit Card,XXXX-XXXX-XXXX-1526,Visa,Active,2022-01-22,2027-01-22,Yes,50000,200000
DBC00034,CUST00034,ACC00038,DB007,Business Debit Card,XXXX-XXXX-XXXX-4845,Visa,Active,2024-08-28,2029-08-28,Yes,50000,200000
DBC00035,CUST00035,ACC00039,DB002,Platinum Debit Card,XXXX-XXXX-XXXX-2529,Visa,Active,2022-06-25,2027-06-25,Yes,25000,75000
DBC00036,CUST00036,ACC00040,DB004,RuPay Debit Card,XXXX-XXXX-XXXX-9394,RuPay,Active,2024-10-22,2029-10-22,No,10000,20000
DBC00037,CUST00037,ACC00041,DB007,Business Debit Card,XXXX-XXXX-XXXX-8705,Visa,Active,2018-08-04,2023-08-04,Yes,50000,200000
