credit_card_product_id,product_code,card_name,card_variant,card_category,card_type,card_network,card_form_factor,co_brand,co_brand_partner,product_status,product_description,joining_fee,annual_fee,renewal_fee,first_year_fee_waiver,renewal_fee_waiver,interest_rate_monthly,interest_rate_annual,minimum_age,maximum_age,minimum_income_monthly,minimum_income_annual,employment_type,minimum_credit_score,residential_requirement,existing_customer_required,minimum_credit_limit,maximum_credit_limit,airport_lounge_access,domestic_lounge_visits,tag_travel,tag_cashback,tag_shopping,tag_fuel,tag_premium,tag_dining,tag_airport_lounge,reward_program_name,reward_type,reward_points_per_amount,reward_point_value,cashback_rate,cashback_available,foreign_currency_markup,created_at,updated_at
CC001,HDFCFREEDOM,Freedom Credit Card,Classic,Classic,Personal,Visa,Physical,No,Not Applicable,Active,HDFC Bank credit card.,0,0,0,0,0,3.75,45.0,21,65,10000,120000,Salaried / Self-employed,650,Resident Indian,No,10000,100000,No,0,0,1,0,0,0,0,0,Reward Points,Reward Points,150,0.5,5.0,Yes,3.5,2026-08-18 00:21:22,2026-08-18 00:21:22
CC002,HDFCMB+,MoneyBack+ Credit Card,Classic,Classic,Personal,Visa,Physical,No,Not Applicable,Active,HDFC Bank credit card.,500,500,0,0,0,3.75,45.0,21,65,15000,180000,Salaried / Self-employed,660,Resident Indian,No,15000,150000,No,0,0,1,1,0,0,0,0,Reward Points,Reward Points,150,0.5,2.0,Yes,3.5,2026-08-18 00:21:22,2026-08-18 00:21:22
CC003,HDFCMILL,Millennia Credit Card,Premium,Premium,Personal,Visa,Physical,No,Not Applicable,Active,HDFC Bank credit card.,1000,1000,0,0,0,3.75,45.0,21,65,25000,300000,Salaried / Self-employed,700,Resident Indian,No,25000,500000,Yes,2,1,1,1,0,0,0,1,Reward Points,Reward Points,150,0.5,5.0,Yes,3.5,2026-08-18 00:21:22,2026-08-18 00:21:22
CC004,HDFCRGOLD,Regalia Gold,Premium,Premium,Personal,Visa,Physical,No,Not Applicable,Active,HDFC Bank credit card.,2500,2500,0,0,0,3.75,45.0,21,65,50000,600000,Salaried / Self-employed,720,Resident Indian,No,75000,1500000,Yes,4,1,0,0,0,1,1,1,Reward Points,Reward Points,40,0.5,0,No,2.0,2026-08-18 00:21:22,2026-08-18 00:21:22
CC005,HDFCINFINIA,Infinia Metal,Super Premium,Super Premium,Personal,Mastercard,Physical,No,Not Applicable,Active,HDFC Bank credit card.,12500,12500,0,0,0,3.75,45.0,21,65,200000,2400000,Salaried / Self-employed,780,Resident Indian,No,500000,10000000,Yes,999,1,0,0,0,1,1,1,Reward Points,Reward Points,5,1.0,0,No,0,2026-08-18 00:21:22,2026-08-18 00:21:22
CC006,HDFCDINERSBLK,Diners Black,Super Premium,Super Premium,Personal,Diners Club,Physical,No,Not Applicable,Active,HDFC Bank credit card.,10000,10000,0,0,0,3.75,45.0,21,65,150000,1800000,Salaried / Self-employed,770,Resident Indian,No,300000,8000000,Yes,999,1,0,0,0,1,1,1,Reward Points,Reward Points,5,1.0,0,No,3.5,2026-08-18 00:21:22,2026-08-18 00:21:22
CC007,HDFCBIZBK,Business Credit Card,Business,Classic,Business,Visa,Physical,No,Not Applicable,Active,HDFC Bank credit card.,1000,1000,0,0,0,3.75,45.0,21,65,50000,600000,Salaried / Self-employed,700,Resident Indian,No,50000,2000000,No,0,0,1,0,0,0,0,0,Reward Points,Reward Points,150,0.5,0,No,3.5,2026-08-18 00:21:22,2026-08-18 00:21:22
CC008,HDFCBIZBLK,BizBlack Credit Card,Business,Super Premium,Business,Mastercard,Physical,No,Not Applicable,Active,HDFC Bank credit card.,10000,10000,0,0,0,3.75,45.0,21,65,250000,3000000,Salaried / Self-employed,760,Resident Indian,No,500000,15000000,Yes,0,1,0,0,0,1,0,0,Reward Points,Reward Points,150,0.5,0,No,3.5,2026-08-18 00:21:22,2026-08-18 00:21:22
CC009,HDFCSWIGGY,Swiggy HDFC Bank Credit Card,Co-brand,Premium,Personal,Mastercard,Physical,Yes,Swiggy,Active,HDFC Bank credit card.,500,500,0,0,0,3.75,45.0,21,65,20000,240000,Salaried / Self-employed,680,Resident Indian,No,20000,500000,No,0,0,1,0,0,0,1,0,Reward Points,Reward Points,150,0.5,10.0,Yes,3.5,2026-08-18 00:21:22,2026-08-18 00:21:22
CC010,HDFCTATANEU,Tata Neu Infinity,Co-brand,Premium,Personal,RuPay,Physical,Yes,Tata Neu,Active,HDFC Bank credit card.,1499,1499,0,0,0,3.75,45.0,21,65,30000,360000,Salaried / Self-employed,700,Resident Indian,No,30000,600000,No,0,0,1,1,0,0,0,0,Reward Points,Reward Points,150,0.5,0,No,3.5,2026-08-18 00:21:22,2026-08-18 00:21:22
